183,Jess Palyan,FR,University of St. Thomas,30:24.7
184,John Miles,FR,Saint John's University,30:25.2
185,William Hall,SR,Carleton College,30:25.5
186,Joey Gais,FR,Carleton College,30:36.6
187,Ben Bartensetin,SR,Macalester College,30:38.5
188,Kyle Fredrickson,JR,Gustavus Alolphus College,30:42.3
189,Sam Karlson,FR,University of St. Thomas,30:43.5
190,Alex Gordon,SO,Macalester College,30:47.0
191,Michael Collins,SR,Saint John's University,30:47.0
192,Austin Zollner,JR,Gustavus Alolphus College,30:48.5
193,Ethan Ellis,FR,Carleton College,30:50.3
194,Benjamin Erickson,FR,Augsburg College,30:51.2
195,Camden Sikes,SO,Carleton College,30:53.0
196,Thomas Dierberger,JR,Saint John's University,30:55.2
197,Alec Dewitz,JR,Saint John's University,30:58.7
198,Andy Olson,SR,St. Olaf College,31:00.2
199,Alex Ozark,FR,Hamline University,31:04.4
200,Jack Schugel,FR,Gustavus Alolphus College,31:05.1
201,Will Corbett,JR,Concordia-Moorhead,31:08.3
202,Ryan Moore,FR,Augsburg College,31:09.9
203,Kai Heen,SO,Macalester College,31:12.9
204,Tayeb Zaidi,JR,Macalester College,31:13.0
205,Brandon Johnson,FR,Concordia-Moorhead,31:13.2
206,Pallav Kumar,FR,Carleton College,31:15.1
207,Nick Lowery,SO,Bethel University,31:15.2
208,Eric Wagner,JR,Gustavus Alolphus College,31:16.6
209,Bailey Lachance,FR,University of St. Thomas,31:17.4
210,Sam Longenbach,JR,St. Olaf College,31:21.8
211,Kevin Dudley,SO,Saint John's University,31:26.8
212,Kemal Kirchmeier,JR,Macalester College,31:34.3
213,Max Bauer,FR,Gustavus Alolphus College,31:35.7
214,Peter Simon,JR,Concordia-Moorhead,31:43.4
215,Connor Sandok,FR,Gustavus Alolphus College,31:51.2
216,Brandon Johnson,FR,Bethel University,32:05.1
217,Keenan Pearson,SO,Bethel University,32:08.0
218,Andrew Hed,SO,Bethel University,32:15.2
219,Frank Spence,FR,Carleton College,32:25.5
220,Matt Steele,FR,Macalester College,32:38.4
221,Will Feeney,SO,Macalester College,32:44.9
222,Matt Berka,SR,Bethel University,32:51.6
223,Peter Fry,SO,Hamline University,32:52.6
224,Mason Martinez,FR,Macalester College,32:59.2
225,Hunter Huntoon,SO,Saint John's University,33:11.1
226,Landry Hacklander,SO,Concordia-Moorhead,33:11.8
227,Austin Kleman,FR,Saint Mary's University,33:11.8
228,Joel Malwitz,SO,Gustavus Alolphus College,33:14.3
229,Yasir Said,FR,Augsburg College,33:31.1
230,Luke Owens,FR,Concordia-Moorhead,33:41.7
231,Tyler Lerbakken,JR,Hamline University,33:43.6
232,Nathaniel Harrison,JR,Concordia-Moorhead,34:06.2
233,Tedros Kifle,SO,Augsburg College,34:40.8
234,Taylor Lauermann,SR,Concordia-Moorhead,34:55.4
235,Sean Adams,SO,Augsburg College,43:06.9
